PID4413_Tumor_RNA		PID4418_Tumor_insulinoma_RNA		PID4447_Tumor_RNA		PID4468_Tumor_MTC_RNA		PID4596_13006_Tumor_RNA		PT087_Primary_RNA		PT087_Recurrent_RNA		PT165_Primary_RNA		PT165_Recurrent_RNA		PT208_P1_Tumor_RNA		PT208_P2_Tumor_RNA		PT211_S1_Tumor_RNA		PT211_S2_Tumor_RNA		PT218_Primary_RNA	
8.42		20.259		12.845		20.747		8.054		5.253		3.795		4.397		2.906		19.385		25.418		10.372		6.397		3.133	
8.537		20.466		13.042		21.22		8.357		5.325		3.842		4.433		2.961		19.459		25.728		10.621		6.498		3.153	
8.737		20.845		13.337		22.068		8.82		5.407		3.897		4.417		3.009		19.702		26.122		10.813		6.601		3.211	
8.899		21.116		13.507		22.979		9.254		5.453		3.964		4.482		3.08		19.993		26.636		11.007		6.759		3.231	
9.067		21.335		13.744		24.248		9.682		5.552		3.988		4.511		3.099		20.358		27.36		11.414		6.888		3.209	
9.213		21.62		13.999		25.423		10.302		5.595		4.073		4.544		3.121		20.614		28.102		11.846		7.07		3.258	
9.39		21.943		14.375		26.45		10.87		5.598		4.165		4.578		3.138		20.987		28.974		12.265		7.28		3.36	
9.661		22.446		14.777		27.343		11.177		5.676		4.276		4.624		3.195		21.396		29.696		12.727		7.504		3.42	
9.89		22.762		15.214		28.387		11.821		5.743		4.384		4.696		3.306		21.882		30.831		13.199		7.762		3.481	
10.141		22.892		15.619		29.391		12.46		5.832		4.469		4.757		3.249		22.358		31.94		13.682		8.068		3.522	
10.511		23.121		15.997		30.146		13.04		5.885		4.563		4.786		3.333		22.66		32.994		14.067		8.249		3.54	
10.792		23.324		16.53		30.835		13.718		5.969		4.649		4.804		3.403		23.371		34.013		14.554		8.502		3.554	
11.129		23.847		16.968		32.156		14.511		6.077		4.775		4.926		3.462		23.872		35.327		15.072		8.782		3.622	
11.738		24.189		17.54		33.196		15.23		6.185		4.882		5.018		3.542		24.492		37.618		15.704		9.033		3.758	
12.061		24.613		18.069		34.633		16.07		6.288		4.986		5.107		3.688		25.089		38.916		16.258		9.338		3.813	
12.389		24.899		18.462		35.99		16.783		6.44		5.114		5.185		3.773		25.977		40.283		16.833		9.674		3.891	
12.796		25.36		18.85		37.19		17.484		6.536		5.245		5.307		3.846		26.707		41.63		17.455		9.974		3.969	
13.148		25.826		19.276		38.339		18.1		6.646		5.356		5.38		3.937		27.409		43.185		18.194		10.309		4.027	
