DARPA_1	DARPA_10	DARPA_11	DARPA_12	DARPA_13	DARPA_14	DARPA_15	DARPA_16	DARPA_17	DARPA_18	DARPA_19	DARPA_2	DARPA_20	DARPA_3	DARPA_31	DARPA_32	DARPA_33	DARPA_34	DARPA_35	DARPA_36
6.546	6.456	5.814	5.418	6.208	6.713	5.853	5.054	5.696	4.64	5.819	5.557	6.824	4.871	4.594	5.048	4.711	4.692	4.503	5.474
6.611	6.572	5.935	5.55	6.353	6.778	5.948	5.089	5.793	4.705	5.871	5.66	6.953	4.993	4.641	5.097	4.74	4.723	4.532	5.51
6.794	6.756	6.061	5.715	6.514	6.955	6.084	5.154	5.925	4.797	6.016	5.79	7.171	5.136	4.712	5.158	4.799	4.774	4.599	5.579
6.985	6.903	6.232	5.834	6.685	7.081	6.243	5.222	6.047	4.909	6.129	5.914	7.346	5.308	4.746	5.164	4.831	4.814	4.662	5.661
7.145	7.047	6.344	5.998	6.783	7.229	6.364	5.247	6.146	4.989	6.207	6.019	7.534	5.436	4.825	5.259	4.875	4.883	4.743	5.752
7.311	7.226	6.472	6.206	6.981	7.372	6.516	5.328	6.275	5.109	6.326	6.124	7.734	5.57	4.868	5.327	4.921	4.938	4.768	5.787
7.472	7.35	6.609	6.374	7.162	7.52	6.633	5.36	6.424	5.22	6.432	6.274	7.847	5.733	4.929	5.38	4.993	4.975	4.828	5.828
7.597	7.535	6.761	6.541	7.305	7.677	6.78	5.468	6.552	5.354	6.516	6.373	8.05	5.895	4.972	5.434	5.042	5.011	4.853	5.908
7.844	7.737	6.909	6.65	7.438	7.879	6.876	5.557	6.717	5.487	6.607	6.504	8.245	6.058	4.995	5.469	5.081	5.052	4.916	5.959
7.967	7.908	7.058	6.784	7.563	8.017	7.009	5.633	6.836	5.597	6.765	6.62	8.396	6.206	5.016	5.548	5.128	5.097	4.965	6.027
8.09	8.057	7.198	6.882	7.722	8.19	7.148	5.717	6.927	5.651	6.866	6.756	8.614	6.335	5.044	5.582	5.167	5.143	5.038	6.063
8.218	8.154	7.303	7.012	7.882	8.331	7.306	5.768	7.053	5.755	6.917	6.926	8.815	6.48	5.069	5.646	5.193	5.17	5.128	6.141
8.479	8.324	7.477	7.211	8.079	8.478	7.469	5.906	7.267	5.922	7.064	7.144	9.047	6.703	5.117	5.693	5.232	5.204	5.191	6.218
8.693	8.553	7.671	7.387	8.277	8.744	7.631	6.003	7.412	6.086	7.246	7.27	9.277	6.899	5.183	5.775	5.27	5.26	5.243	6.273
8.922	8.799	7.877	7.585	8.546	8.978	7.802	6.147	7.606	6.212	7.421	7.496	9.532	7.148	5.24	5.851	5.328	5.313	5.326	6.359
9.09	8.97	8.01	7.727	8.731	9.141	7.995	6.211	7.697	6.358	7.531	7.658	9.811	7.32	5.278	5.903	5.407	5.387	5.364	6.42
9.296	9.118	8.192	7.912	8.965	9.3	8.198	6.299	7.856	6.481	7.682	7.842	10.032	7.5	5.332	5.94	5.482	5.444	5.423	6.487
