2_Pilot_1	2_Pilot_10	2_Pilot_11	2_Pilot_3	2_Pilot_9	3_Pilot_1	3_Pilot_10	3_Pilot_11	3_Pilot_3	3_Pilot_9	Pilot_1	Pilot_10	Pilot_11	Pilot_3	Pilot_9	MSSM_RNA_PFC_2	PITT_RNA_PFC_1263	PITT_RNA_PFC_1581	MSSM_RNA_PFC_128	MSSM_RNA_PFC_141	MSSM_RNA_PFC_143	MSSM_RNA_PFC_146	MSSM_RNA_PFC_147	MSSM_RNA_PFC_148	MSSM_RNA_PFC_155	MSSM_RNA_PFC_159	MSSM_RNA_PFC_161	MSSM_RNA_PFC_163	MSSM_RNA_PFC_165	MSSM_RNA_PFC_166	MSSM_RNA_PFC_168	MSSM_RNA_PFC_176	MSSM_RNA_PFC_181	MSSM_RNA_PFC_184	MSSM_RNA_PFC_191	MSSM_RNA_PFC_198	MSSM_RNA_PFC_207	MSSM_RNA_PFC_286	MSSM_RNA_PFC_299	MSSM_RNA_PFC_303	MSSM_RNA_PFC_329	MSSM_RNA_PFC_67	MSSM_RNA_PFC_79	MSSM_RNA_PFC_93	MSSM_RNA_PFC_97	PENN_RNA_PFC_1	PENN_RNA_PFC_10	PENN_RNA_PFC_21	PENN_RNA_PFC_52	PENN_RNA_PFC_61	PENN_RNA_PFC_98	PITT_RNA_PFC_10025	PITT_RNA_PFC_1026	PITT_RNA_PFC_1086	PITT_RNA_PFC_1454	PITT_RNA_PFC_1524	PITT_RNA_PFC_1542	MSSM_RNA_PFC_106	MSSM_RNA_PFC_109	MSSM_RNA_PFC_11	MSSM_RNA_PFC_118	MSSM_RNA_PFC_122	MSSM_RNA_PFC_133	MSSM_RNA_PFC_197	MSSM_RNA_PFC_273	MSSM_RNA_PFC_293	MSSM_RNA_PFC_316	MSSM_RNA_PFC_34	MSSM_RNA_PFC_343	MSSM_RNA_PFC_360	MSSM_RNA_PFC_365	MSSM_RNA_PFC_46	MSSM_RNA_PFC_57	MSSM_RNA_PFC_65	MSSM_RNA_PFC_73	PENN_RNA_PFC_101	PENN_RNA_PFC_23	PENN_RNA_PFC_5	PENN_RNA_PFC_59	PENN_RNA_PFC_73	PENN_RNA_PFC_95	PITT_RNA_PFC_10020	PITT_RNA_PFC_1284	PITT_RNA_PFC_1558	PITT_RNA_PFC_1734	PITT_RNA_PFC_516	PITT_RNA_PFC_539	PITT_RNA_PFC_700	MSSM_RNA_PFC_144	MSSM_RNA_PFC_153	MSSM_RNA_PFC_164	MSSM_RNA_PFC_173	MSSM_RNA_PFC_199	MSSM_RNA_PFC_20	MSSM_RNA_PFC_214	MSSM_RNA_PFC_225	MSSM_RNA_PFC_236	MSSM_RNA_PFC_239	MSSM_RNA_PFC_244	MSSM_RNA_PFC_255	MSSM_RNA_PFC_260	MSSM_RNA_PFC_27	MSSM_RNA_PFC_284	MSSM_RNA_PFC_295	MSSM_RNA_PFC_296	MSSM_RNA_PFC_304	MSSM_RNA_PFC_311	MSSM_RNA_PFC_315	MSSM_RNA_PFC_323	MSSM_RNA_PFC_326	MSSM_RNA_PFC_336	MSSM_RNA_PFC_385	MSSM_RNA_PFC_394	MSSM_RNA_PFC_43	MSSM_RNA_PFC_58	MSSM_RNA_PFC_82	MSSM_RNA_PFC_92	PENN_RNA_PFC_19	PENN_RNA_PFC_67	PENN_RNA_PFC_82	PITT_RNA_PFC_1209	PITT_RNA_PFC_537	PITT_RNA_PFC_567	Pilot_1	Pilot_10	Pilot_11	Pilot_12	Pilot_17	Pilot_18	Pilot_2	Pilot_3	Pilot_4	Pilot_5	Pilot_6	Pilot_7	Pilot_8	Pilot_9
5.158	6.229	5.414	3.253	3.66	5.756	3.38	7.578	3.906	1.56	5.013	5.037	4.799	5.918	3.042	3.848	4.272	1.664	7.984	10.374	11.069	6.868	7.892	9.996	8.84	13.346	15.575	9.05	13.053	13.02	6.412	6.59	6.395	7.658	9.83	5.969	14.414	8.365	4.898	6.639	8.937	5.849	8.41	9.492	8.524	8.567	9.459	7.867	7.89	9.309	10.62	10.484	12.842	14.952	10.558	11.623	6.987	6.581	8.829	6.481	8.081	7.616	7.213	10.849	9.307	2.185	10.14	7.821	6.95	8.956	8.056	9.592	8.386	7.507	9.561	5.891	8.238	8.658	8.309	2.571	12.81	9.528	10.459	7.143	8.931	12.46	10.557	9.388	4.196	6.828	7.508	6.8	9.511	7.706	10.602	1.98	8.099	7.695	1.354	9.422	9.224	5.188	7.607	10.483	8.241	5.594	6.926	7.99	5.391	11.559	6.538	4.905	1.723	2.207	7.838	6.678	15.081	8.44	7.953	3.718	7.085	5.394	6.651	10.996	3.429	4.188	4.601	6.992	7.189	8.437	6.607	8.626	6.258	6.624	2.823	5.897	2.544
5.251	6.293	5.533	3.34	3.741	5.816	3.431	7.676	3.933	1.588	5.155	5.106	5.066	6.059	3.128	3.928	4.326	1.687	8.221	10.749	11.556	6.953	7.997	10.596	9.256	14.158	16.157	9.11	13.827	13.525	6.454	6.709	6.468	7.815	10.214	6.103	14.893	8.589	4.949	6.618	8.994	5.952	8.465	9.535	8.886	8.634	10.01	8.157	7.913	9.803	11.112	10.773	13.305	15.515	11.059	12.1	7.185	6.707	8.911	6.773	8.278	7.665	7.251	11.177	9.384	2.188	10.224	7.849	7.012	9.065	8.092	9.614	8.85	7.744	9.759	6.224	8.308	8.728	8.454	2.638	12.961	10.016	10.857	7.325	9.125	12.581	10.73	9.506	4.318	7.03	7.617	6.923	9.616	7.768	10.791	2.068	8.284	7.784	1.427	9.87	9.462	5.442	7.912	10.827	8.354	5.789	7.026	8.189	5.465	11.985	6.615	4.938	1.811	2.306	8.09	6.764	15.586	8.53	8.146	3.786	7.294	5.566	6.855	11.101	3.478	4.286	4.708	7.065	7.269	8.494	6.713	8.712	6.281	6.7	2.895	6.049	2.556
5.415	6.324	5.736	3.419	3.798	5.919	3.532	7.67	4.021	1.641	5.433	5.169	5.257	6.23	3.215	3.987	4.442	1.709	8.517	11.272	12.213	7.02	8.019	11.335	9.722	14.961	16.917	9.207	14.756	14.275	6.58	6.789	6.503	8.035	10.553	6.239	15.639	9.049	5.002	6.624	9.089	6.061	8.514	9.641	9.48	8.702	10.506	8.605	8.049	10.4	11.758	11.219	13.831	16.409	11.649	12.762	7.446	6.83	9.046	7.038	8.621	7.742	7.296	11.58	9.44	2.202	10.26	7.956	7.072	9.115	8.142	9.713	9.244	8.024	9.908	6.613	8.448	8.885	8.623	2.708	13.278	10.545	11.426	7.495	9.401	12.73	10.871	9.715	4.44	7.186	7.734	7.019	9.865	7.908	11.029	2.205	8.662	7.918	1.485	10.229	9.567	5.654	8.263	11.112	8.564	5.984	7.086	8.39	5.528	12.43	6.711	5.001	1.924	2.46	8.456	6.871	15.989	8.675	8.468	3.869	7.607	5.743	7.016	11.322	3.522	4.34	4.796	7.197	7.38	8.64	6.843	8.902	6.39	6.864	2.948	6.164	2.603
5.549	6.426	5.91	3.541	3.79	6.036	3.636	7.798	4.112	1.68	5.629	5.234	5.497	6.472	3.302	4.055	4.497	1.757	8.936	11.632	12.845	7.109	8.104	12.337	10.237	15.872	17.555	9.21	15.893	15.206	6.651	6.839	6.532	8.205	11.346	6.393	16.574	9.655	5.076	6.652	9.111	6.241	8.665	9.606	10.027	8.712	11.102	9.033	8.127	11.402	12.504	11.725	14.455	17.442	12.605	13.374	7.761	6.951	9.202	7.341	9.124	7.899	7.325	12.235	9.584	2.22	10.283	8.04	7.118	9.107	8.221	9.797	9.702	8.346	10.02	7.297	8.602	8.987	8.717	2.825	13.683	11.272	12.074	7.808	9.653	13.007	11.164	10.026	4.599	7.374	7.818	7.213	10.047	8.029	11.354	2.299	9.108	8.012	1.618	10.846	9.614	5.886	8.77	11.52	8.81	6.143	7.266	8.58	5.566	12.988	6.811	5.118	2.032	2.613	8.905	6.964	16.504	8.868	8.66	4.009	7.827	5.991	7.221	11.477	3.537	4.404	4.889	7.277	7.454	8.745	6.958	9.08	6.43	6.936	3.007	6.235	2.633
5.713	6.522	6.144	3.673	3.881	6.207	3.766	7.86	4.226	1.735	5.895	5.328	5.833	6.831	3.455	4.196	4.678	1.84	9.602	12.326	13.583	7.224	8.201	13.069	10.851	16.968	18.416	9.327	17.466	16.357	6.766	6.936	6.593	8.502	11.974	6.492	17.778	10.151	5.187	6.653	9.173	6.452	8.759	9.713	10.85	8.831	11.89	9.561	8.203	12.226	13.373	12.196	15.092	19.006	13.767	14.312	8.094	7.154	9.27	7.706	9.6	8.066	7.406	12.983	9.767	2.27	10.391	8.103	7.169	9.247	8.282	9.978	10.438	8.746	10.273	7.865	8.975	9.191	8.84	2.99	14.321	11.943	12.953	8.275	10.104	13.38	11.555	10.379	4.811	7.638	8.009	7.424	10.336	8.11	11.734	2.453	9.7	8.196	1.726	11.522	9.724	6.172	9.423	12.07	8.962	6.438	7.364	8.85	5.672	13.722	6.961	5.254	2.176	2.833	9.774	7.2	17.29	9.109	9.147	4.188	8.235	6.2	7.577	11.705	3.605	4.492	4.954	7.437	7.623	8.855	7.112	9.383	6.555	7.131	3.108	6.4	2.683
5.885	6.668	6.336	3.734	3.974	6.427	3.858	7.893	4.291	1.746	6.181	5.493	6.045	7.106	3.57	4.378	4.825	1.899	10.058	12.755	14.324	7.246	8.363	13.954	11.483	18.127	19.493	9.57	19.033	17.514	6.961	7.137	6.615	8.787	12.819	6.637	19.023	10.656	5.263	6.803	9.318	6.636	8.899	9.822	11.453	9.048	12.758	10.251	8.32	13.095	14.282	12.825	15.86	20.245	14.825	15.366	8.425	7.327	9.305	8.23	10.052	8.222	7.433	13.679	10.031	2.326	10.502	8.221	7.294	9.461	8.466	10.149	11.386	9.163	10.622	8.552	9.271	9.473	8.885	3.185	15.037	12.699	14.008	8.676	10.389	13.686	12.086	10.878	4.973	7.759	8.096	7.604	10.522	8.292	12.078	2.612	10.256	8.339	1.847	12.602	9.795	6.318	10.397	12.771	9.251	6.667	7.488	8.987	5.794	14.641	7.132	5.367	2.371	3.043	10.34	7.367	17.978	9.334	9.452	4.387	8.722	6.467	7.841	11.919	3.671	4.548	5.038	7.592	7.821	9.006	7.314	9.647	6.577	7.32	3.16	6.602	2.736
6.11	6.863	6.523	3.919	4.034	6.544	3.966	8.054	4.364	1.831	6.551	5.706	6.353	7.546	3.662	4.577	5.014	1.96	10.724	13.391	15.358	7.369	8.469	15.04	12.323	19.231	20.756	9.704	20.447	18.825	7.146	7.31	6.706	9.154	13.754	6.857	20.235	11.273	5.344	6.882	9.399	6.86	9.126	9.912	12.191	9.199	13.672	10.972	8.45	14.114	15.443	13.66	16.758	21.516	16.006	16.423	8.768	7.537	9.533	8.792	10.771	8.536	7.461	14.528	10.251	2.397	10.595	8.479	7.357	9.552	8.603	10.302	12.159	9.535	11.03	9.287	9.574	9.768	9.1	3.333	15.88	13.415	15.043	9.087	10.777	14.07	12.591	11.448	5.275	8.145	8.278	7.797	10.808	8.499	12.611	2.683	10.933	8.54	1.989	13.468	10.074	6.674	11.287	13.631	9.509	6.889	7.589	9.102	5.944	15.681	7.282	5.48	2.513	3.31	11.032	7.518	18.986	9.552	10.031	4.53	9.321	6.736	8.288	12.218	3.766	4.705	5.132	7.821	8.031	9.188	7.565	10.028	6.65	7.487	3.202	6.786	2.76
6.303	6.995	6.699	4.025	4.149	6.747	4.056	8.195	4.43	1.879	6.889	5.888	6.607	7.971	3.785	4.83	5.233	2.023	11.315	14.126	16.186	7.55	8.697	16.091	13.119	20.361	21.651	9.792	21.628	19.926	7.343	7.461	6.747	9.528	14.513	7.047	21.181	11.848	5.458	7.043	9.579	7.053	9.26	10.061	12.906	9.441	14.756	11.551	8.627	15.088	16.402	14.428	17.65	22.991	17.452	17.593	9.102	7.718	9.691	9.291	11.451	8.732	7.548	15.369	10.482	2.458	10.723	8.777	7.467	9.656	8.703	10.495	12.869	9.9	11.347	9.997	9.876	9.933	9.282	3.479	16.681	14.355	16.011	9.599	11.231	14.528	13.248	12.086	5.496	8.458	8.514	8.041	11.192	8.726	13.029	2.845	11.516	8.773	2.098	14.301	10.246	7.011	12.02	14.181	9.796	7.105	7.853	9.346	6.075	16.583	7.433	5.918	2.645	3.522	11.726	7.715	19.943	9.826	10.522	4.739	9.967	7.096	8.634	12.585	3.891	4.88	5.286	8.058	8.278	9.433	7.745	10.332	6.776	7.622	3.27	6.833	2.818
6.59	7.18	6.92	4.177	4.235	6.858	4.196	8.336	4.517	1.911	7.249	6.072	6.886	8.335	3.922	4.94	5.426	2.071	11.942	14.681	17.294	7.627	8.81	17.19	13.823	21.474	22.666	10.065	22.868	21.268	7.507	7.724	6.803	9.851	15.363	7.302	22.335	12.475	5.631	7.131	9.721	7.297	9.386	10.148	13.743	9.573	15.778	12.134	8.729	16.17	17.658	15.257	18.472	24.691	18.794	18.803	9.511	7.982	9.787	9.777	12.094	8.928	7.647	16.155	10.69	2.489	10.974	8.938	7.604	9.785	8.92	10.706	13.656	10.432	11.838	10.72	10.303	10.17	9.427	3.616	17.533	15.367	17.044	10.287	11.728	14.997	13.988	12.757	5.755	8.822	8.663	8.257	11.418	8.886	13.58	2.957	12.115	8.881	2.216	14.923	10.567	7.198	12.726	14.914	10.08	7.308	8.003	9.565	6.183	17.661	7.575	5.963	2.774	3.765	12.528	7.887	20.986	10.049	10.944	4.94	10.483	7.359	8.97	13.063	3.996	5.111	5.376	8.297	8.562	9.577	7.95	10.718	6.871	7.753	3.332	6.937	2.861
6.804	7.365	7.19	4.319	4.324	7.069	4.353	8.463	4.645	1.978	7.59	6.179	7.141	8.691	4.016	5.117	5.7	2.12	12.556	15.432	18.38	7.846	9.197	18.241	14.616	22.388	24.235	10.362	24.305	22.376	7.812	8.015	6.97	10.322	16.198	7.578	23.527	13.115	5.781	7.348	9.924	7.561	9.654	10.43	14.51	9.987	16.789	12.949	8.967	17.384	18.469	15.984	19.3	26.362	19.754	20.159	9.97	8.318	10.021	10.392	12.78	9.295	7.793	17.103	11.191	2.585	11.194	9.249	7.797	10.04	9.122	10.913	14.442	10.917	12.241	11.574	10.806	10.457	9.573	3.799	18.646	16.217	18.18	10.873	12.29	15.508	14.552	13.294	5.984	9.273	8.979	8.479	11.958	9.116	14.234	3.055	12.73	9.136	2.347	15.647	10.763	7.353	13.632	15.735	10.391	7.512	8.14	9.833	6.353	18.681	7.728	6.107	2.913	3.985	13.183	8.168	22.171	10.38	11.353	5.134	11.032	7.644	9.344	13.485	4.071	5.241	5.517	8.498	8.705	9.742	8.222	11.124	7.023	8.005	3.411	7.07	2.917
